what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.0.v200906111145,"org.eclipse.datatools.enablement.oda.ws.ui",1253117648954
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.0.v200906020900,"org.eclipse.datatools.enablement.oda.ws",1253117648954
stopped,bundle,org.eclipse.wst.wsdl,1.2.0.v200904112052,"org.eclipse.wst.wsdl",1253117648954
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1253117648954
stopped,bundle,org.eclipse.birt.chart.examples,2.5.0.v20090514,"org.eclipse.birt.chart.examples",1253117648954
stopped,bundle,org.eclipse.birt.chart.device.pdf,2.5.0.v20090326,"org.eclipse.birt.chart.device.pdf",1253117648954
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.5.0.v20090531,"org.eclipse.birt.chart.reportitem.ui",1253117648954
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.5.0.v20090603,"org.eclipse.birt.report.item.crosstab.ui",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.cubebuilder",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.data,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.data",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.editor.script",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.ide",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.lib.explorer",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.lib",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.editors.schematic",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.samples.ide,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.samples.ide",1253117648955
stopped,bundle,org.eclipse.birt.report.designer.ui.editors,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.editors",1253117648956
stopped,bundle,org.eclipse.birt.report.designer.ui.samplesview,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.samplesview",1253117648956
stopped,bundle,org.eclipse.birt.report.designer.ui.views,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui.views",1253117648956
stopped,bundle,org.eclipse.birt.report.designer.ui,2.5.0.v20090603,"org.eclipse.birt.report.designer.ui",1253117648956
stopped,bundle,org.eclipse.birt.report.designer.core,2.5.0.v20090603,"org.eclipse.birt.report.designer.core",1253117648957
stopped,bundle,org.eclipse.birt.report.engine.emitter.prototype.excel,2.5.0.v20090601,"org.eclipse.birt.report.engine.emitter.prototype.excel",1253117648957
stopped,bundle,org.eclipse.birt.chart.reportitem,2.5.0.v20090514,"org.eclipse.birt.chart.reportitem",1253117648957
stopped,bundle,org.eclipse.birt.report.engine.dataextraction.csv,2.5.0.v20090514,"org.eclipse.birt.report.engine.dataextraction.csv",1253117648957
