what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_16",1253110718435
java.vm.info,sysinfo,,,"mixed mode, sharing",1253110718435
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253110718435
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253110718435
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253110718435
java.vm.specification.version,sysinfo,,,"1.0",1253110718435
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253110718435
java.vm.version,sysinfo,,,"14.2-b01",1253110718435
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1253110718464
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1253110718467
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1253110718535
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1253110718578
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1253110718647
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1253110718724
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1253110719536
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253110722850
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253110734594
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1253110736441
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253110742608
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253110742870
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1253110742990
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253110757090
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253110765867
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253110887876
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253110898706
