what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1253110718423
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1253110718423
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1253110718423
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1253110718428
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1253110718428
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1253110718428
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1253110718428
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1253110718428
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1253110718428
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1253110718428
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1253110718429
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1253110718429
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1253110718429
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1253110718429
os,sysinfo,,,"linux",1253110718434
arch,sysinfo,,,"x86",1253110718434
ws,sysinfo,,,"gtk",1253110718434
locale,sysinfo,,,"fr_FR",1253110718434
processors,sysinfo,,,"2",1253110718435
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253110718435
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1253110718435
java.specification.name,sysinfo,,,"Java Platform API Specification",1253110718435
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253110718435
java.specification.version,sysinfo,,,"1.6",1253110718435
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253110718435
