what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112825662
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112826841
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112827604
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112898797
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112901530
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253112904874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253112926740
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112929322
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112932602
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112946791
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253112951477
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253112971737
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253112976813
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253113071805
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253113073719
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253113075161
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253113080356
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113141877
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113169559
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113272917
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113468238
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113522264
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113544029
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113547521
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253113598039
