what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114074234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114243376
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114401549
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114404081
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114409378
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114411340
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114441287
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114482173
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114554088
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253114556632
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114558221
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253114559792
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114562973
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1253114570456
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.window.openEditorDropDown",1253114575121
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114575165
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114579321
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114582485
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253114587690
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1253114589848
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253114591116
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114615935
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114616433
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114617630
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253114623445
